mode;time_ms;energy_uj
cfs;5281;21759831.000000004
cfs;5251;20333582.0
cfs;5202;21088918.0
cfs;5217;20582117.000000004
cfs;5256;21256449.0
cfs;5211;21350340.0
cfs;5286;22518586.0
cfs;5240;21165451.0
cfs;5255;21639377.0
cfs;5204;21079450.0
tetris;5396;21972598.0
tetris;5464;22017045.0
tetris;5338;22416279.0
tetris;5402;21781397.0
tetris;5404;21796388.0
tetris;5463;22120667.0
tetris;5384;21853459.0
tetris;5426;22189047.0
tetris;5421;22362101.0
tetris;5408;22265054.0
